pincode,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater
753012,Odisha,Cuttack,2056,3036,148,1412,176,60,0
753013,Odisha,Cuttack,396,720,32,364,40,20,0
753014,Odisha,Cuttack,4016,6772,292,2344,316,156,4
754001,Odisha,Cuttack,27360,37120,3100,27800,2520,440,0
754002,Odisha,Cuttack,2080,2516,56,532,44,2,0
754003,Odisha,Cuttack,1328,1226,208,1676,94,18,0
754004,Odisha,Cuttack,119700,131754,9114,70896,8428,1911,0
754005,Odisha,Cuttack,37075,49575,4475,26350,3225,925,25
754006,Odisha,Cuttack,2552,2480,176,1776,204,28,4
754007,Odisha,Cuttack,3592,3440,404,3224,244,76,0
754008,Odisha,Cuttack,14952,11544,1332,8682,1530,234,9
754009,Odisha,Cuttack,19464,18420,1728,11784,2208,208,0
754010,Odisha,Cuttack,2132,2172,168,940,132,36,0
754011,Odisha,Cuttack,12,31,2,40,6,0,0
754012,Odisha,Khorda,14,42,0,42,12,0,6
754018,Odisha,Cuttack,1114,1226,88,456,112,20,0
754021,Odisha,Cuttack,1552,1604,140,1484,132,64,0
754022,Odisha,Cuttack,7832,7196,576,4548,372,148,0
754023,Odisha,Cuttack,16290,15690,924,7068,1520,280,0
754024,Odisha,Cuttack,6345,7164,1128,6876,780,108,0
754025,Odisha,Cuttack,2730,2918,172,1838,180,124,0
754026,Odisha,Cuttack,236,278,20,55,17,1,0
754027,Odisha,Cuttack,4064,3852,316,2352,264,48,0
754028,Odisha,Cuttack,7132,8828,724,6240,324,96,0
754029,Odisha,Cuttack,17892,17032,1072,7608,764,128,4
754030,Odisha,Cuttack,8420,5360,436,4004,392,36,4
754031,Odisha,Cuttack,13544,21044,1668,10740,1100,176,0
754032,Odisha,Cuttack,5430,4418,564,4130,780,156,0
754034,Odisha,Cuttack,3,5,0,1,5,0,0
754035,Odisha,Cuttack,4668,5792,392,3364,472,104,0
754037,Odisha,Cuttack,7348,5976,600,4368,440,60,0
754071,Odisha,Cuttack,260,306,46,230,36,24,0
754082,Odisha,Cuttack,2802,4020,512,3568,348,132,0
754100,Odisha,Cuttack,8208,9207,1062,7497,477,99,0
754102,Odisha,Jagatsinghapur,9819,12294,1026,6732,1512,72,0
754103,Odisha,Cuttack,58650,76550,4075,30000,3975,500,25
754104,Odisha,Jagatsinghapur,10683,12618,1071,6345,1323,45,0
754105,Odisha,Cuttack,4960,3560,428,3276,196,32,0
754106,Odisha,Cuttack,9384,13144,1360,11280,2220,240,20
754107,Odisha,Jagatsinghapur,4632,4380,306,1716,711,126,9
754108,Odisha,Jagatsinghapur,9474,9846,1428,12528,1320,136,16
754109,Odisha,Cuttack,7332,8244,1035,6540,1360,200,0
754110,Odisha,Jagatsinghapur,7112,6704,852,4968,1554,174,42
754111,Odisha,Jagatsinghapur,6210,8181,492,2904,618,54,0
754112,Odisha,Cuttack,4476,5584,548,4580,200,100,0
754113,Odisha,Jagatsinghapur,12762,8748,1080,7641,1152,81,9
754114,Odisha,Jagatsinghapur,3492,4492,312,1932,444,30,6
754118,Odisha,Cuttack,1,4,0,1,0,0,0
754119,Odisha,Jagatsinghapur,6916,7564,678,3738,708,90,18
754120,Odisha,Jagatsinghapur,1104,784,96,668,184,28,0
754130,Odisha,Cuttack,29425,34600,2760,18320,1580,240,0
754131,Odisha,Cuttack,4860,5332,372,2596,308,100,0
754132,Odisha,Cuttack,19416,20136,1780,11180,2220,270,15
754133,Odisha,Jagatsinghapur,2396,2732,288,1956,540,42,0
754134,Odisha,Cuttack,46776,45768,7488,45672,6444,1080,36
754135,Odisha,Cuttack,11490,16800,1350,8580,1800,125,0
754136,Odisha,Jagatsinghapur,5976,7092,270,3096,693,126,0
754137,Odisha,Jagatsinghapur,7830,6831,981,5652,846,171,0
754138,Odisha,Jagatsinghapur,6660,7668,726,5232,1017,117,0
754139,Odisha,Jagatsinghapur,6402,6246,654,4260,688,32,4
754140,Odisha,Jagatsinghapur,26192,27376,3680,20960,3152,400,32
754141,Odisha,Jagatsinghapur,94540,90820,14775,89725,15480,1960,100
754142,Odisha,Jagatsinghapur,6816,6072,603,4689,924,168,0
754143,Odisha,Jagatsinghapur,6,7,2,10,0,1,0
754145,Odisha,Jagatsinghapur,16,38,2,36,8,0,0
754153,Odisha,Kendrapara,1434,1268,154,784,244,56,0
754155,Odisha,Jagatsinghpur,1,0,0,0,0,0,0
754159,Odisha,Cuttack,432,285,8,112,36,0,0
754160,Odisha,Jagatsinghapur,2016,2136,328,2296,376,60,0
754162,Odisha,Jagatsinghapur,2997,2592,333,1953,243,54,0
754200,Odisha,Cuttack,8448,9412,940,7204,560,172,0
754201,Odisha,Cuttack,2016,1696,230,1554,260,56,0
754202,Odisha,Cuttack,4692,4452,512,4208,372,88,0
754203,Odisha,Cuttack,544,533,162,776,46,22,0
754204,Odisha,Cuttack,30784,24208,3720,28560,2928,360,0
754205,Odisha,Cuttack,30140,22680,2688,13488,2400,420,0
754206,Odisha,Cuttack,3972,2836,208,1188,268,36,0
754207,Odisha,Cuttack,26520,29700,1680,9996,2208,384,0
754208,Odisha,Cuttack,12015,11763,963,6255,720,162,0
754209,Odisha,Cuttack,18264,22284,2608,18320,1368,216,12
754210,Odisha,Cuttack,1550,1946,642,4134,192,42,0
754211,Odisha,Kendrapara,12132,9216,1696,8980,928,212,0
754212,Odisha,Cuttack,3904,3386,801,5316,990,144,6
754213,Odisha,Kendrapara,3226,2648,726,3644,580,136,4
754214,Odisha,JAJPUR,21488,23744,3820,23780,2920,1060,0
754215,Odisha,Kendrapara,10376,9348,1496,10584,940,164,40
754216,Odisha,Kendrapara,1084,1020,184,1018,52,19,1
754217,Odisha,Kendrapara,4254,3844,516,3542,680,200,12
754218,Odisha,Kendrapara,2532,2664,296,3112,176,52,4
754219,Odisha,Kendrapara,5068,4932,452,2584,420,52,28
754220,Odisha,Kendrapara,10596,12488,1232,7524,632,96,8
754221,Odisha,Cuttack,2922,2902,154,1130,424,80,0
754222,Odisha,Kendrapara,2552,2212,448,2820,316,108,4
754223,Odisha,JAJPUR,1290,1968,426,2520,330,24,0
754224,Odisha,Kendrapara,12084,10736,1968,14232,1016,292,12
754225,Odisha,Kendrapara,5685,5901,374,3464,774,108,12
754227,Odisha,Kendrapara,2032,2618,210,1648,188,112,8
754228,Odisha,Kendrapara,327,344,90,508,52,4,2
754229,Odisha,Kendrapara,1,9,1,2,1,2,0
754230,Odisha,Kendrapara,6,3,0,2,0,0,0
754231,Odisha,JAJPUR,2430,3600,304,1560,516,84,0
754239,Odisha,Kendrapara,2428,2568,124,900,172,20,8
754240,Odisha,Kendrapara,1116,1048,300,1840,78,44,2
754243,Odisha,Kendrapara,5,17,0,17,0,0,0
754244,Odisha,Kendrapara,818,1090,184,1156,164,20,0
754245,Odisha,JAJPUR,4890,5148,750,4128,720,144,0
754246,Odisha,Kendrapara,2882,2246,378,3156,368,64,8
754248,Odisha,Kendrapara,3082,2132,280,2346,560,104,4
754250,Odisha,JAJPUR,14412,14604,1920,13404,1552,432,0
754251,Odisha,Kendrapara,4,7,0,18,0,0,0
754253,Odisha,Kendrapara,191,138,102,348,30,14,0
754282,Odisha,Cuttack,1,2,0,3,0,0,0
754285,Odisha,Cuttack,4,5,0,6,1,0,0
754286,Odisha,Cuttack,1,0,0,0,0,0,0
754288,Odisha,Cuttack,2,6,0,7,1,0,0
754289,Odisha,Cuttack,2160,1956,300,2316,180,24,0
754290,Odisha,Cuttack,520,368,118,686,76,6,0
754292,Odisha,JAJPUR,24160,20680,2544,12128,2080,320,0
754293,Odisha,Cuttack,2420,2464,388,1644,148,36,0
754294,Odisha,Cuttack,5688,7200,324,2484,468,48,0
754295,Odisha,Cuttack,232,310,9,126,19,6,0
754296,Odisha,Cuttack,4552,6248,640,3568,832,144,16
754297,Odisha,Cuttack,3,1,0,4,0,0,0
754298,Odisha,Cuttack,19,6,0,8,6,0,0
754311,Odisha,Kendrapara,0,2,0,0,0,0,0
755001,Odisha,Bhadrak,8364,7968,1476,7920,1152,336,0
755003,Odisha,Cuttack,11997,12033,3108,12852,1368,288,48
755004,Odisha,JAJPUR,26224,26704,2400,12784,2064,368,0
755005,Odisha,JAJPUR,18486,18666,2862,15471,1656,279,9
755006,Odisha,Bhadrak,18272,21168,2320,13860,2580,260,0
755007,Odisha,Bhadrak,36960,35264,4448,27328,3184,848,0
755008,Odisha,JAJPUR,22599,24606,2673,12843,2025,396,0
755009,Odisha,JAJPUR,25146,21033,2664,18270,2349,369,0
755010,Odisha,JAJPUR,2742,2400,240,1506,342,90,0
755011,Odisha,JAJPUR,23484,22188,3645,21705,2960,660,0
755012,Odisha,JAJPUR,7506,9162,1089,6471,756,99,0
755013,Odisha,Cuttack,20784,18032,2832,18816,1456,480,0
755014,Odisha,JAJPUR,8664,7764,1524,8364,1350,234,0
755015,Odisha,JAJPUR,25975,19750,2975,20225,2000,475,50
755016,Odisha,JAJPUR,24324,22920,2985,14730,2920,1060,60
755017,Odisha,JAJPUR,7734,7188,984,5544,1008,234,0
755018,Odisha,JAJPUR,21096,21834,3699,24903,1773,720,135
755019,Odisha,JAJPUR,137298,125076,14544,115344,10248,2940,294
